1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,13
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,3
1.0000,1
0.9000,1
0.8000,1
0.7000,1
0.6000,1
0.5000,1
0.4000,1
0.3000,1
0.2000,1
0.1000,1
0.0900,1
0.0600,1
0.0400,1
0.0350,1
0.0300,1
0.0270,1
0.0250,1
0.0230,1
0.0220,1
0.0210,1
0.0200,1
0.0190,1
0.0180,3





